image,blur_score,blur_category,rl_psnr,rl_ssim,rl_runtime_sec,gan_psnr,gan_ssim,gan_runtime_sec
000080.png,55.14395932277046,high_blur,23.23465724590403,0.7922433651147208,4.099130868911743,6.0672095317516685,0.3744786833962521,0.07552146911621094
000081.png,20.06322935442395,high_blur,24.168561283622342,0.7931643299763437,4.063445091247559,6.086607026284597,0.3801334911809572,0.07466769218444824
000082.png,34.26626161862478,high_blur,23.8988313107349,0.8049629573417776,4.083151340484619,6.15196614821023,0.3795456140761596,0.07460927963256836
000083.png,13.936345428861214,high_blur,23.263781762761305,0.7630336071035357,4.056604862213135,6.1307865991503565,0.38663635841433086,0.07546687126159668
000084.png,12.578620215140443,high_blur,19.84539750029008,0.6376327796060608,4.093224048614502,6.038729081408107,0.3936078785937925,0.07516598701477051
000085.png,11.02794888552442,high_blur,21.099294000316494,0.6905925520178721,4.06661581993103,5.937264098803171,0.3795061435002582,0.07342219352722168
000086.png,11.661235737241348,high_blur,19.90455409478016,0.6382308871430361,4.112441301345825,5.725688802324117,0.36308235093333874,0.07454466819763184
000087.png,16.143232021697948,high_blur,21.27774319641647,0.7027822804098819,4.060732126235962,5.561168841397536,0.3302812272979434,0.07608842849731445
000088.png,28.64260288464464,high_blur,24.231734717229145,0.802406684030072,4.102615833282471,5.504924341812339,0.31920389291367907,0.07790088653564453
000089.png,13.868059045179391,high_blur,21.044183457993423,0.6739499810485294,4.122435092926025,5.445421108555176,0.3240287285129199,0.07716941833496094
000090.png,25.71710646633573,high_blur,22.38108058798663,0.7411042916640153,4.130360841751099,5.3952287492554944,0.30701190534173406,0.07578921318054199
000091.png,17.638297776394115,high_blur,21.694329182946966,0.7034226139258523,4.139067649841309,5.476311053874207,0.3168788722926814,0.07606148719787598
000092.png,70.12373867740864,high_blur,19.475718494624996,0.681017484445534,4.1123948097229,5.442351695208215,0.3007491920153335,0.07449650764465332
